Success,experiment/tracetraceSummaryDict[startTime],Timestamp,Input,Output,Chain,Error,Model ID,experiment/TFS,experiment/token_out_cumulative,experiment/token_in_cumulative,experiment/TFS_cumulative
TRUE,null,null,**0.phase:** fishing_cognition_act,,"John(fishing_cognition_act::prompt_shrinking_limit(reasoning, option))",null,null,58.12458745,292,606,58.08670895
TRUE,null,null,**0.phase:** fishing_cognition_act,,"Emma(fishing_cognition_act::prompt_shrinking_limit(reasoning, option))",null,null,59.17640824,633,1255,58.65274498
TRUE,null,null,**0.phase:** fishing_cognition_act,,"Luke(fishing_cognition_act::prompt_shrinking_limit(reasoning, option))",null,null,60.74238539,944,1880,59.32903258
TRUE,null,null,**0.phase:** fishing_cognition_act,,"Emma(fishing_cognition_act::prompt_shrinking_limit(reasoning, option))",null,null,68.00440518,1172,2422,60.99598108
TRUE,null,null,**0.phase:** fishing_cognition_act,,"Luke(fishing_cognition_act::prompt_shrinking_limit(reasoning, option), fishing_cognition_act::prompt_shrinking_limit(reasoning, option))",null,null,67.30990791,1634,3515,62.77417861
TRUE,null,null,**0.phase:** fishing_cognition_act,,"Jack(fishing_cognition_act::prompt_shrinking_limit(reasoning, option))",null,null,54.8331119,2044,4203,61.21585204
TRUE,null,null,**0.phase:** fishing_cognition_act,,"Luke(fishing_cognition_act::prompt_shrinking_limit(reasoning, option))",null,null,61.46146416,2351,4824,61.24742048
TRUE,null,null,**0.phase:** fishing_cognition_act,,"Emma(fishing_cognition_act::prompt_shrinking_limit(reasoning, option))",null,null,61.12221323,2658,5445,61.23298106
TRUE,null,null,**0.phase:** fishing_cognition_act,,"Luke(fishing_cognition_act::prompt_shrinking_limit(reasoning, option))",null,null,74.14774962,2833,5929,62.04570705
TRUE,null,null,**0.phase:** fishing_cognition_act,,"Jack(fishing_cognition_act::prompt_shrinking_limit(reasoning, option), fishing_cognition_act::prompt_shrinking_limit(reasoning, option))",null,null,59.82261965,3459,7149,61.64699145
TRUE,null,null,**0.phase:** fishing_cognition_act,,"Emma(fishing_cognition_act::prompt_shrinking_limit(reasoning, option))",null,null,61.32483447,3754,7758,61.62151409
TRUE,null,null,**0.phase:** fishing_cognition_act,,"Kate(fishing_cognition_act::prompt_shrinking_limit(reasoning, option), fishing_cognition_act::prompt_shrinking_limit(reasoning, option))",null,null,60.11429269,4347,8930,61.41676231
TRUE,null,null,**0.phase:** fishing_cognition_act,,"Luke(fishing_cognition_act::prompt_shrinking_limit(reasoning, option))",null,null,73.26292584,4522,9414,61.88993691
TRUE,null,null,**0.phase:** fishing_cognition_act,,"John(fishing_cognition_act::prompt_shrinking_limit(reasoning, option))",null,null,58.65674515,4879,10085,61.65642257
TRUE,null,null,**0.phase:** fishing_cognition_act,,"Luke(fishing_cognition_act::prompt_shrinking_limit(reasoning, option))",null,null,56.55841305,5266,10780,61.28389743
TRUE,null,null,**0.phase:** fishing_cognition_act,,"Emma(fishing_cognition_act::prompt_shrinking_limit(reasoning, option), fishing_cognition_act::prompt_shrinking_limit(reasoning, option), fishing_cognition_act::prompt_shrinking_limit(reasoning, option), fishing_cognition_act::prompt_shrinking_limit(reasoning, option), fishing_cognition_act::prompt_shrinking_limit(reasoning, option))",null,null,57.46977276,7056,14074,60.32064327
TRUE,null,null,**0.phase:** fishing_cognition_act,,"Jack(fishing_cognition_act::prompt_shrinking_limit(reasoning, option))",null,null,64.22086572,7322,14656,60.4622921
